scrape_id,product_id,sku,product_name,category,brand,supplier_name,supplier_country,price,original_price,discount_pct,currency_code,availability_status,stock_qty,rating,review_count,scrape_timestamp,source_site,page_url,crawl_region
SCR-00001,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,Prime Distribution,Kuwait,783.34,822.40,4.75,BHD,Out of Stock,111,4.7,4311,2024-01-01T09:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p101,GCC
SCR-00002,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,Alpha Supply,Bahrain,139.84,142.06,1.56,QAR,Low Stock,214,3.4,944,2024-01-01T12:00:00+00:00,shop-gamma.example,https://shop-gamma.example/products/p102,GCC
SCR-00003,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,Prime Distribution,Bahrain,1492.92,1697.46,12.05,BHD,Out of Stock,14,4.1,938,2024-01-01T15:00:00+00:00,shop-beta.example,https://shop-alpha.example/products/p103,Global
SCR-00004,P104,SKU-P104,Laptop Stand,Office,ErgoLift,Prime Distribution,UK,1709.15,1715.67,0.38,SAR,Out of Stock,16,4.6,4780,2024-01-01T18:00:00+00:00,shop-gamma.example,https://shop-gamma.example/products/p104,EMEA
SCR-00005,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,Vertex Global,KSA,1276.61,1528.33,16.47,EUR,In Stock,79,3.7,1078,2024-01-01T21:00:00+00:00,shop-alpha.example,https://shop-beta.example/products/p105,EMEA
SCR-00006,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,Alpha Supply,UK,545.75,663.44,17.74,KWD,Out of Stock,144,4.7,1796,2024-01-02T00:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p106,GCC
SCR-00007,P107,SKU-P107,Webcam 4K,Video,ClearView,Alpha Supply,UAE,1261.92,1345.62,6.22,GBP,In Stock,142,4.4,4645,2024-01-02T03:00:00+00:00,shop-alpha.example,https://shop-alpha.example/products/p107,GCC
SCR-00008,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,Vertex Global,Egypt,478.56,481.74,0.66,EGP,Out of Stock,160,4.6,2944,2024-01-02T06:00:00+00:00,shop-beta.example,https://shop-gamma.example/products/p108,Global
SCR-00009,P109,SKU-P109,Desk Lamp,Office,BrightNest,Prime Distribution,Egypt,622.73,738.62,15.69,KWD,In Stock,131,3.4,589,2024-01-02T09:00:00+00:00,shop-alpha.example,https://shop-gamma.example/products/p109,EMEA
SCR-00010,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,Prime Distribution,Bahrain,1444.79,1518.11,4.83,EGP,Out of Stock,148,4.4,2946,2024-01-02T12:00:00+00:00,shop-gamma.example,https://shop-beta.example/products/p110,Global
