inventory_snapshot_id,snapshot_date,store_id,product_id,sku,product_name,category,brand,stock_quantity,reserved_quantity,available_quantity,reorder_point,safety_stock,inbound_quantity,outbound_quantity,unit_cost,inventory_value,supplier_name,snapshot_timestamp,stock_status
INV-000001,2025-01-01,STR-003,P107,SKU-P107,Webcam 4K,Video,ClearView,64,47,17,31,64,97,38,675.82,11488.94,Prime Distribution,2025-01-01T00:00:00+00:00,Low
INV-000002,2025-01-02,STR-005,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,141,33,108,120,80,101,77,564.11,60923.88,Delta Trade,2025-01-02T00:00:00+00:00,Out Of Stock
INV-000003,2025-01-03,STR-004,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,403,16,387,116,24,112,64,193.86,75023.82,Delta Trade,2025-01-03T00:00:00+00:00,Healthy
INV-000004,2025-01-04,STR-001,P109,SKU-P109,Desk Lamp,Office,BrightNest,424,7,417,24,64,38,66,813.01,339025.17,Alpha Supply,2025-01-04T00:00:00+00:00,Out Of Stock
INV-000005,2025-01-05,STR-004,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,299,27,272,55,12,31,32,598.21,162713.12,Prime Distribution,2025-01-05T00:00:00+00:00,Out Of Stock
INV-000006,2025-01-06,STR-001,P109,SKU-P109,Desk Lamp,Office,BrightNest,287,11,276,36,28,39,60,604.90,166952.40,Delta Trade,2025-01-06T00:00:00+00:00,Out Of Stock
INV-000007,2025-01-07,STR-004,P109,SKU-P109,Desk Lamp,Office,BrightNest,409,13,396,111,20,98,2,569.27,225430.92,Prime Distribution,2025-01-07T00:00:00+00:00,Out Of Stock
INV-000008,2025-01-08,STR-002,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,366,39,327,116,79,104,25,658.61,215365.47,Alpha Supply,2025-01-08T00:00:00+00:00,Out Of Stock
INV-000009,2025-01-09,STR-005,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,403,48,355,83,69,44,28,158.46,56253.30,Prime Distribution,2025-01-09T00:00:00+00:00,Healthy
INV-000010,2025-01-10,STR-003,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,338,51,287,31,78,6,26,828.67,237828.29,Alpha Supply,2025-01-10T00:00:00+00:00,Out Of Stock
INV-000011,2025-01-11,STR-006,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,195,9,186,72,50,39,88,433.49,80629.14,Alpha Supply,2025-01-11T00:00:00+00:00,Low
INV-000012,2025-01-12,STR-002,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,388,38,350,76,42,83,61,329.68,115388.00,Vertex Global,2025-01-12T00:00:00+00:00,Low
INV-000013,2025-01-13,STR-001,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,55,40,15,52,53,86,45,519.11,7786.65,Vertex Global,2025-01-13T00:00:00+00:00,Low
INV-000014,2025-01-14,STR-003,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,476,53,423,28,68,53,17,204.31,86423.13,Alpha Supply,2025-01-14T00:00:00+00:00,Low
INV-000015,2025-01-15,STR-006,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,53,53,0,44,54,66,82,355.65,0.00,Prime Distribution,2025-01-15T00:00:00+00:00,Healthy
INV-000016,2025-01-16,STR-004,P102,SKU-P102,Mechanical Keyboard,Accessories,KeyCraft,255,0,255,80,32,120,18,546.12,139260.60,Prime Distribution,2025-01-16T00:00:00+00:00,Healthy
INV-000017,2025-01-17,STR-001,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,293,16,277,75,70,45,43,618.33,171277.41,Delta Trade,2025-01-17T00:00:00+00:00,Low
INV-000018,2025-01-18,STR-001,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,72,17,55,99,42,39,66,201.85,11101.75,Alpha Supply,2025-01-18T00:00:00+00:00,Out Of Stock
INV-000019,2025-01-19,STR-004,P106,SKU-P106,Noise-Cancelling Headset,Audio,SoundPeak,457,31,426,98,60,20,27,59.61,25393.86,Alpha Supply,2025-01-19T00:00:00+00:00,Out Of Stock
INV-000020,2025-01-20,STR-002,P107,SKU-P107,Webcam 4K,Video,ClearView,465,37,428,64,56,36,35,889.19,380573.32,Alpha Supply,2025-01-20T00:00:00+00:00,Low
INV-000021,2025-01-21,STR-006,P104,SKU-P104,Laptop Stand,Office,ErgoLift,241,8,233,49,74,31,36,133.63,31135.79,Delta Trade,2025-01-21T00:00:00+00:00,Healthy
INV-000022,2025-01-22,STR-005,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,79,21,58,75,58,52,43,504.52,29262.16,Delta Trade,2025-01-22T00:00:00+00:00,Low
INV-000023,2025-01-23,STR-006,P107,SKU-P107,Webcam 4K,Video,ClearView,358,32,326,55,29,100,19,481.73,157043.98,Vertex Global,2025-01-23T00:00:00+00:00,Out Of Stock
INV-000024,2025-01-24,STR-003,P104,SKU-P104,Laptop Stand,Office,ErgoLift,245,58,187,101,24,31,95,342.37,64023.19,Alpha Supply,2025-01-24T00:00:00+00:00,Low
INV-000025,2025-01-25,STR-005,P101,SKU-P101,Wireless Mouse,Accessories,LogiTech,449,32,417,106,45,98,32,536.25,223616.25,Prime Distribution,2025-01-25T00:00:00+00:00,Low
INV-000026,2025-01-26,STR-006,P107,SKU-P107,Webcam 4K,Video,ClearView,321,10,311,36,43,61,28,496.09,154283.99,Prime Distribution,2025-01-26T00:00:00+00:00,Healthy
INV-000027,2025-01-27,STR-003,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,75,11,64,93,39,14,52,775.12,49607.68,Delta Trade,2025-01-27T00:00:00+00:00,Low
INV-000028,2025-01-28,STR-003,P104,SKU-P104,Laptop Stand,Office,ErgoLift,207,58,149,70,57,10,34,195.13,29074.37,Delta Trade,2025-01-28T00:00:00+00:00,Low
INV-000029,2025-01-29,STR-004,P109,SKU-P109,Desk Lamp,Office,BrightNest,276,55,221,26,21,119,87,151.44,33468.24,Vertex Global,2025-01-29T00:00:00+00:00,Out Of Stock
INV-000030,2025-01-30,STR-001,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,440,10,430,78,12,74,41,671.94,288934.20,Delta Trade,2025-01-30T00:00:00+00:00,Low
INV-000031,2025-01-31,STR-006,P109,SKU-P109,Desk Lamp,Office,BrightNest,420,38,382,120,21,77,91,185.05,70689.10,Delta Trade,2025-01-31T00:00:00+00:00,Low
INV-000032,2025-02-01,STR-006,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,315,53,262,116,74,77,91,161.08,42202.96,Delta Trade,2025-02-01T00:00:00+00:00,Healthy
INV-000033,2025-02-02,STR-004,P105,SKU-P105,27-inch Monitor,Displays,VisionTech,399,18,381,102,75,79,33,331.87,126442.47,Prime Distribution,2025-02-02T00:00:00+00:00,Low
INV-000034,2025-02-03,STR-002,P110,SKU-P110,Tablet Stand,Accessories,FlexMount,64,47,17,93,60,12,13,138.77,2359.09,Alpha Supply,2025-02-03T00:00:00+00:00,Out Of Stock
INV-000035,2025-02-04,STR-004,P103,SKU-P103,USB-C Hub,Connectivity,DockPro,380,56,324,21,27,118,3,67.88,21993.12,Delta Trade,2025-02-04T00:00:00+00:00,Low
INV-000036,2025-02-05,STR-001,P109,SKU-P109,Desk Lamp,Office,BrightNest,70,8,62,94,48,88,79,865.24,53644.88,Vertex Global,2025-02-05T00:00:00+00:00,Low
INV-000037,2025-02-06,STR-006,P108,SKU-P108,Portable SSD 1TB,Storage,FlashCore,176,1,175,116,44,62,46,40.34,7059.50,Prime Distribution,2025-02-06T00:00:00+00:00,Healthy
