event_id,session_id,customer_id,campaign_id,store_id,product_id,event_timestamp,event_date,event_type,page_visited,page_category,traffic_source,device_type,browser_name,operating_system,time_spent_seconds,scroll_depth_pct,is_conversion,order_id,revenue_amount
WEB-000001,SES-000001,C0596,CMP-006,STR-001,P102,2025-01-01T00:00:00+00:00,2025-01-01,product_view,/home,Product,Social Media,Tablet,Firefox,Windows,691,75.02,false,,0.00
WEB-000002,SES-000002,C0026,CMP-005,STR-001,P107,2025-01-01T00:07:00+00:00,2025-01-01,add_to_cart,/category,Checkout,Direct,Mobile,Chrome,Windows,534,15.48,false,,0.00
WEB-000003,SES-000003,C0508,CMP-005,STR-003,P107,2025-01-01T00:14:00+00:00,2025-01-01,page_view,/checkout,Landing,Direct,Tablet,Safari,Android,540,16.18,false,,0.00
WEB-000004,SES-000004,C0971,CMP-004,STR-001,P104,2025-01-01T00:21:00+00:00,2025-01-01,checkout_start,/category,Checkout,Partner,Desktop,Firefox,macOS,417,95.61,false,,0.00
WEB-000005,SES-000005,C0065,CMP-003,STR-002,P104,2025-01-01T00:28:00+00:00,2025-01-01,page_view,/campaign-landing,Catalog,Direct,Desktop,Firefox,Android,517,57.23,false,,0.00
WEB-000006,SES-000006,C0955,CMP-006,STR-006,P106,2025-01-01T00:35:00+00:00,2025-01-01,checkout_start,/category,Product,Social Media,Tablet,Edge,Android,153,11.81,false,,0.00
WEB-000007,SES-000007,C0747,CMP-004,STR-002,P104,2025-01-01T00:42:00+00:00,2025-01-01,add_to_cart,/product,Checkout,Referral,Desktop,Firefox,iOS,123,52.23,false,,0.00
WEB-000008,SES-000008,C0733,CMP-004,STR-006,P102,2025-01-01T00:49:00+00:00,2025-01-01,purchase,/campaign-landing,Catalog,Partner,Tablet,Edge,iOS,367,37.84,true,ORD-00008,920.90
WEB-000009,SES-000009,C0473,CMP-004,STR-002,P109,2025-01-01T00:56:00+00:00,2025-01-01,checkout_start,/product,Checkout,Direct,Tablet,Chrome,macOS,666,62.91,true,ORD-00009,581.24
WEB-000010,SES-000010,C0798,CMP-005,STR-005,P107,2025-01-01T01:03:00+00:00,2025-01-01,product_view,/category,Landing,Referral,Tablet,Chrome,Windows,130,36.39,false,,0.00
WEB-000011,SES-000011,C0200,CMP-001,STR-003,P101,2025-01-01T01:10:00+00:00,2025-01-01,purchase,/home,Catalog,Partner,Mobile,Safari,macOS,810,93.58,false,,0.00
WEB-000012,SES-000012,C0521,CMP-001,STR-006,P110,2025-01-01T01:17:00+00:00,2025-01-01,purchase,/campaign-landing,Catalog,Organic,Mobile,Edge,Android,56,63.14,false,,0.00
WEB-000013,SES-000013,C0710,CMP-001,STR-005,P107,2025-01-01T01:24:00+00:00,2025-01-01,checkout_start,/product,Product,Organic,Tablet,Chrome,Windows,428,88.29,false,,0.00
WEB-000014,SES-000014,C0933,CMP-002,STR-005,P103,2025-01-01T01:31:00+00:00,2025-01-01,add_to_cart,/campaign-landing,Landing,Partner,Tablet,Chrome,Windows,77,79.87,false,,0.00
WEB-000015,SES-000015,C0115,CMP-004,STR-003,P102,2025-01-01T01:38:00+00:00,2025-01-01,page_view,/campaign-landing,Product,Partner,Desktop,Firefox,Android,84,14.27,false,,0.00
WEB-000016,SES-000016,C0665,CMP-006,STR-002,P103,2025-01-01T01:45:00+00:00,2025-01-01,product_view,/checkout,Support,Referral,Mobile,Edge,macOS,639,78.05,false,,0.00
WEB-000017,SES-000017,C0548,CMP-001,STR-002,P104,2025-01-01T01:52:00+00:00,2025-01-01,page_view,/category,Product,Partner,Desktop,Chrome,iOS,434,85.59,false,,0.00
WEB-000018,SES-000018,C0466,CMP-001,STR-002,P107,2025-01-01T01:59:00+00:00,2025-01-01,checkout_start,/home,Checkout,Partner,Tablet,Edge,iOS,237,15.4,false,,0.00
WEB-000019,SES-000019,C0712,CMP-002,STR-005,P101,2025-01-01T02:06:00+00:00,2025-01-01,page_view,/product,Support,Direct,Desktop,Safari,Android,375,71.5,false,,0.00
WEB-000020,SES-000020,C0229,CMP-005,STR-002,P101,2025-01-01T02:13:00+00:00,2025-01-01,add_to_cart,/checkout,Landing,Referral,Tablet,Safari,macOS,831,47.89,false,,0.00
WEB-000021,SES-000021,C0605,CMP-006,STR-002,P109,2025-01-01T02:20:00+00:00,2025-01-01,checkout_start,/cart,Support,Paid Search,Tablet,Edge,Windows,834,94.31,false,,0.00
WEB-000022,SES-000022,C0819,CMP-002,STR-001,P103,2025-01-01T02:27:00+00:00,2025-01-01,purchase,/category,Product,Social Media,Desktop,Firefox,Android,261,44.22,false,,0.00
WEB-000023,SES-000023,C0575,CMP-003,STR-003,P101,2025-01-01T02:34:00+00:00,2025-01-01,add_to_cart,/home,Catalog,Referral,Mobile,Firefox,Android,79,90.31,false,,0.00
WEB-000024,SES-000024,C0516,CMP-004,STR-002,P106,2025-01-01T02:41:00+00:00,2025-01-01,page_view,/cart,Support,Referral,Desktop,Safari,macOS,119,9.47,true,ORD-00024,2995.14
WEB-000025,SES-000025,C0026,CMP-002,STR-005,P107,2025-01-01T02:48:00+00:00,2025-01-01,page_view,/product,Catalog,Social Media,Mobile,Safari,iOS,864,83.82,false,,0.00
WEB-000026,SES-000026,C0715,CMP-005,STR-005,P107,2025-01-01T02:55:00+00:00,2025-01-01,purchase,/home,Checkout,Paid Search,Desktop,Firefox,Android,77,37.0,false,,0.00
WEB-000027,SES-000027,C0928,CMP-003,STR-003,P109,2025-01-01T03:02:00+00:00,2025-01-01,purchase,/home,Product,Referral,Mobile,Safari,Android,643,25.13,false,,0.00
WEB-000028,SES-000028,C0240,CMP-001,STR-005,P107,2025-01-01T03:09:00+00:00,2025-01-01,product_view,/cart,Landing,Social Media,Tablet,Safari,Windows,570,67.73,false,,0.00
WEB-000029,SES-000029,C0134,CMP-003,STR-003,P105,2025-01-01T03:16:00+00:00,2025-01-01,checkout_start,/campaign-landing,Catalog,Partner,Mobile,Chrome,Android,445,52.22,true,ORD-00029,1025.78
WEB-000030,SES-000030,C0569,CMP-001,STR-004,P109,2025-01-01T03:23:00+00:00,2025-01-01,page_view,/cart,Support,Referral,Mobile,Edge,Android,539,22.07,false,,0.00
WEB-000031,SES-000031,C0840,CMP-003,STR-002,P101,2025-01-01T03:30:00+00:00,2025-01-01,product_view,/home,Product,Referral,Tablet,Firefox,Android,708,91.23,false,,0.00
WEB-000032,SES-000032,C0880,CMP-001,STR-005,P102,2025-01-01T03:37:00+00:00,2025-01-01,page_view,/product,Landing,Organic,Tablet,Chrome,macOS,632,31.6,false,,0.00
WEB-000033,SES-000033,C0241,CMP-005,STR-003,P103,2025-01-01T03:44:00+00:00,2025-01-01,page_view,/campaign-landing,Landing,Direct,Desktop,Edge,Windows,234,98.23,false,,0.00
WEB-000034,SES-000034,C0374,CMP-003,STR-004,P106,2025-01-01T03:51:00+00:00,2025-01-01,purchase,/product,Checkout,Partner,Desktop,Chrome,Android,628,46.54,false,,0.00
WEB-000035,SES-000035,C0061,CMP-003,STR-004,P106,2025-01-01T03:58:00+00:00,2025-01-01,page_view,/category,Catalog,Organic,Mobile,Firefox,iOS,761,86.06,true,ORD-00035,5083.77
WEB-000036,SES-000036,C0951,CMP-001,STR-004,P107,2025-01-01T04:05:00+00:00,2025-01-01,add_to_cart,/cart,Catalog,Partner,Tablet,Chrome,Android,659,17.16,false,,0.00
WEB-000037,SES-000037,C0386,CMP-004,STR-006,P110,2025-01-01T04:12:00+00:00,2025-01-01,checkout_start,/category,Support,Referral,Tablet,Edge,iOS,578,32.91,false,,0.00
WEB-000038,SES-000038,C0403,CMP-004,STR-005,P101,2025-01-01T04:19:00+00:00,2025-01-01,purchase,/category,Product,Organic,Mobile,Edge,iOS,109,29.85,false,,0.00
WEB-000039,SES-000039,C0722,CMP-004,STR-005,P110,2025-01-01T04:26:00+00:00,2025-01-01,checkout_start,/cart,Catalog,Referral,Mobile,Firefox,macOS,707,41.11,false,,0.00
WEB-000040,SES-000040,C0297,CMP-002,STR-004,P101,2025-01-01T04:33:00+00:00,2025-01-01,purchase,/cart,Landing,Partner,Tablet,Chrome,Android,489,98.06,false,,0.00
WEB-000041,SES-000041,C0162,CMP-002,STR-001,P110,2025-01-01T04:40:00+00:00,2025-01-01,add_to_cart,/campaign-landing,Support,Organic,Mobile,Chrome,macOS,709,20.82,false,,0.00
