transaction_id,customer_id,product_id,campaign_id,store_id,session_id,transaction_date,quantity,price,total_amount,order_id,payment_method,currency_code,country_code,city,sales_channel,device_type,promo_code,discount_amount,tax_amount,shipping_amount,fulfillment_status,transaction_status
T00001,C0596,P102,CMP-006,STR-001,SES-000001,11/4/2023,1,1270.78,1192.68,ORD-00001,Credit Card,KWD,Qatar,Al Rayyan,Marketplace,Desktop,VIP15,167.96,55.14,34.72,In Transit,Completed
T00002,C0026,P107,CMP-005,STR-001,SES-000002,9/26/2023,2,777.01,1464.53,ORD-00002,Cash,QAR,Qatar,Al Rayyan,Online,Mobile,VIP15,186.13,68.39,28.25,In Transit,Refunded
T00003,C0508,P107,CMP-005,STR-003,SES-000003,8/3/2024,5,266.16,1362.51,ORD-00003,Apple Pay,EGP,KSA,Dammam,Retail,Desktop,WELCOME10,75.28,62.78,44.21,Packed,Completed
T00004,C0971,P104,CMP-004,STR-001,SES-000004,1/26/2023,6,1296.04,7445.11,ORD-00004,Credit Card,KWD,UAE,Abu Dhabi,Marketplace,Desktop,VIP15,718.29,352.90,34.26,Delivered,Completed
T00005,C0065,P104,CMP-003,STR-002,SES-000005,2/13/2022,4,610.83,2328.47,ORD-00005,Cash,BHD,USA,Austin,Marketplace,Tablet,NONE,238.91,110.22,13.84,Returned,Completed
T00006,C0955,P106,CMP-006,STR-006,SES-000006,6/27/2022,5,177.33,829.93,ORD-00006,Google Pay,EGP,Kuwait,Hawalli,Online,Desktop,WELCOME10,105.39,39.06,9.61,Returned,Completed
T00007,C0747,P104,CMP-004,STR-002,SES-000007,12/29/2024,1,124.39,143.13,ORD-00007,Google Pay,GBP,KSA,Riyadh,Marketplace,Mobile,WELCOME10,18.10,5.31,31.53,In Transit,Refunded
T00008,C0733,P102,CMP-004,STR-006,SES-000008,10/20/2022,4,208.39,920.90,ORD-00008,Bank Transfer,EUR,UK,Manchester,Online,Mobile,RAMADAN20,13.59,41.00,59.93,Packed,Completed
T00009,C0473,P109,CMP-004,STR-002,SES-000009,12/6/2023,3,203.54,581.24,ORD-00009,Google Pay,EUR,USA,New York,Marketplace,Desktop,WELCOME10,75.55,26.75,19.42,Delivered,Completed
T00010,C0798,P107,CMP-005,STR-005,SES-000010,11/1/2023,5,284.78,1433.26,ORD-00010,Credit Card,AED,UAE,Sharjah,Retail,Tablet,VIP15,85.95,66.90,28.41,Packed,Pending
T00011,C0200,P101,CMP-001,STR-003,SES-000011,1/20/2024,4,772.98,2768.01,ORD-00011,Google Pay,EUR,UK,Manchester,Online,Tablet,NONE,461.66,131.51,6.24,In Transit,Completed
