campaign_id,campaign_name,platform_name,channel_group,campaign_objective,budget,actual_spend,start_date,end_date,target_country,target_segment,creative_type,owner_team,agency_name,kpi_goal,status,currency_code,impressions_target,clicks_target,created_at
CMP-001,Google Ads Jan 2024 1,Google Ads,Search,Acquisition,130276.17,132828.93,2024-01-01,2024-01-30,Bahrain,Enterprise,Search Text,CRM,InHouse,ROAS,Completed,SAR,496262,30546,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Jan 2024 2,Meta Ads,Social,Acquisition,61599.05,43230.27,2024-01-02,2024-03-04,Egypt,Basic,Video,Growth,AdSpark,CAC,Completed,KWD,2785445,195662,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Jan 2024 3,TikTok Ads,Social,Awareness,114472.89,117101.30,2024-01-03,2024-03-24,USA,Premium,Video,Brand,MediaHub,Revenue,Paused,KWD,884100,141548,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Jan 2024 4,LinkedIn Ads,B2B,Lead Generation,99729.91,82988.98,2024-01-04,2024-01-19,UK,Basic,Static,Brand,MediaHub,ROAS,Active,QAR,105250,208051,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Jan 2024 5,Email Nurture,CRM,Retention,103090.17,92795.52,2024-01-05,2024-03-30,Egypt,VIP,Video,Brand,MediaHub,CAC,Completed,QAR,1585283,34766,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Jan 2024 6,Affiliate Network,Partner,Acquisition,126318.72,111989.19,2024-01-06,2024-01-22,Qatar,VIP,Search Text,Growth,InHouse,CAC,Completed,KWD,547723,205267,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Jan 2024 7,Google Ads,Search,Acquisition,88351.91,86531.64,2024-01-07,2024-04-18,KSA,Premium,Search Text,Growth,MediaHub,Leads,Active,EUR,1515822,145099,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Jan 2024 8,Meta Ads,Social,Acquisition,81866.62,65898.33,2024-01-08,2024-03-03,Egypt,Premium,Video,Brand,InHouse,CAC,Active,EGP,2031035,244842,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Jan 2024 9,TikTok Ads,Social,Awareness,64524.05,51279.14,2024-01-09,2024-01-29,Egypt,Enterprise,Static,Performance,BlueFox,ROAS,Active,AED,1868557,189439,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Jan 2024 10,LinkedIn Ads,B2B,Lead Generation,144671.11,118990.36,2024-01-10,2024-04-25,UAE,Enterprise,Static,CRM,MediaHub,Leads,Completed,SAR,1446089,84738,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Jan 2024 11,Email Nurture,CRM,Retention,143031.34,102044.19,2024-01-11,2024-02-27,UAE,Premium,Carousel,Growth,MediaHub,ROAS,Active,AED,2594266,96207,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Jan 2024 12,Affiliate Network,Partner,Acquisition,143575.18,125739.02,2024-01-12,2024-03-17,Bahrain,VIP,Search Text,Brand,InHouse,Leads,Paused,KWD,1570154,75722,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Jan 2024 13,Google Ads,Search,Acquisition,126838.79,130429.35,2024-01-13,2024-03-21,UK,Enterprise,Video,CRM,BlueFox,Revenue,Paused,AED,473723,12566,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Jan 2024 14,Meta Ads,Social,Acquisition,10790.97,7525.66,2024-01-14,2024-04-08,KSA,Basic,Static,Growth,AdSpark,CAC,Active,BHD,1682010,73396,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Jan 2024 15,TikTok Ads,Social,Awareness,141595.02,119731.85,2024-01-15,2024-05-05,Kuwait,Basic,Video,Growth,BlueFox,Revenue,Active,EGP,2496162,8990,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Jan 2024 16,LinkedIn Ads,B2B,Lead Generation,18010.88,14176.14,2024-01-16,2024-05-01,UAE,Enterprise,Video,CRM,InHouse,Revenue,Paused,SAR,1043908,15125,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Jan 2024 17,Email Nurture,CRM,Retention,107467.95,84131.90,2024-01-17,2024-03-30,UAE,VIP,Carousel,Brand,AdSpark,Leads,Active,EUR,743921,30938,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Jan 2024 18,Affiliate Network,Partner,Acquisition,31089.93,20425.21,2024-01-18,2024-05-01,Kuwait,Premium,Carousel,Brand,AdSpark,Revenue,Completed,EUR,2510477,67521,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Jan 2024 19,Google Ads,Search,Acquisition,6393.24,4463.75,2024-01-19,2024-04-05,UAE,VIP,Static,CRM,AdSpark,CAC,Paused,QAR,1844902,234212,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Jan 2024 20,Meta Ads,Social,Acquisition,66647.71,47290.91,2024-01-20,2024-03-24,Qatar,Basic,Static,CRM,AdSpark,ROAS,Active,AED,1125703,106639,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Jan 2024 21,TikTok Ads,Social,Awareness,64983.40,50312.78,2024-01-21,2024-03-28,Qatar,Basic,Video,Growth,InHouse,Revenue,Completed,BHD,2805656,123515,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Jan 2024 22,LinkedIn Ads,B2B,Lead Generation,137261.55,91270.74,2024-01-22,2024-02-20,UK,Premium,Video,Brand,InHouse,Leads,Active,SAR,1338193,206640,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Jan 2024 23,Email Nurture,CRM,Retention,8259.94,7386.23,2024-01-23,2024-02-28,UAE,VIP,Search Text,Performance,AdSpark,CAC,Completed,SAR,843256,122437,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Jan 2024 24,Affiliate Network,Partner,Acquisition,66974.57,46755.70,2024-01-24,2024-04-22,Kuwait,Enterprise,Carousel,Growth,AdSpark,Revenue,Active,EGP,917159,128128,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Jan 2024 25,Google Ads,Search,Acquisition,142976.86,120673.69,2024-01-25,2024-03-15,UK,Premium,Static,CRM,BlueFox,Revenue,Active,GBP,2899389,136105,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Jan 2024 26,Meta Ads,Social,Acquisition,89464.31,68497.66,2024-01-26,2024-05-04,KSA,Enterprise,Video,Growth,BlueFox,CAC,Paused,EGP,120339,57188,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Jan 2024 27,TikTok Ads,Social,Awareness,9545.16,7963.50,2024-01-27,2024-04-09,Egypt,Basic,Video,Performance,InHouse,CAC,Completed,AED,2655870,211567,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Jan 2024 28,LinkedIn Ads,B2B,Lead Generation,94909.97,65301.02,2024-01-28,2024-05-05,KSA,Premium,Carousel,Performance,MediaHub,ROAS,Active,BHD,104007,192615,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Jan 2024 29,Email Nurture,CRM,Retention,76540.13,67742.53,2024-01-29,2024-04-20,UK,Basic,Video,Performance,BlueFox,Leads,Completed,EGP,684093,199661,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Jan 2024 30,Affiliate Network,Partner,Acquisition,68791.12,68933.58,2024-01-30,2024-02-28,Qatar,Premium,Search Text,Brand,AdSpark,ROAS,Completed,EGP,268849,213826,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Jan 2024 31,Google Ads,Search,Acquisition,40406.10,27020.73,2024-01-31,2024-02-17,Bahrain,VIP,Search Text,Growth,MediaHub,CAC,Paused,SAR,1266427,157154,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Feb 2024 32,Meta Ads,Social,Acquisition,15542.55,14130.99,2024-02-01,2024-04-06,KSA,Premium,Search Text,Brand,MediaHub,Revenue,Completed,EGP,1953468,191370,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Feb 2024 33,TikTok Ads,Social,Awareness,60031.47,61670.81,2024-02-02,2024-05-22,Bahrain,Basic,Carousel,Growth,BlueFox,CAC,Completed,SAR,1094862,238167,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Feb 2024 34,LinkedIn Ads,B2B,Lead Generation,15088.67,13314.09,2024-02-03,2024-05-28,KSA,VIP,Search Text,Growth,AdSpark,CAC,Active,BHD,1201675,177735,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Feb 2024 35,Email Nurture,CRM,Retention,104257.71,91045.66,2024-02-04,2024-05-31,Qatar,Enterprise,Carousel,Growth,AdSpark,Revenue,Active,QAR,2694348,12840,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Feb 2024 36,Affiliate Network,Partner,Acquisition,139081.61,129457.78,2024-02-05,2024-05-06,UK,Enterprise,Search Text,CRM,BlueFox,Revenue,Active,QAR,1910270,135139,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Feb 2024 37,Google Ads,Search,Acquisition,24450.03,20234.32,2024-02-06,2024-03-30,Egypt,VIP,Video,Performance,MediaHub,CAC,Paused,GBP,2653737,107595,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Feb 2024 38,Meta Ads,Social,Acquisition,82307.71,57617.30,2024-02-07,2024-03-27,USA,VIP,Search Text,CRM,InHouse,Revenue,Active,QAR,1667540,126704,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Feb 2024 39,TikTok Ads,Social,Awareness,148608.09,141349.79,2024-02-08,2024-03-12,Bahrain,Basic,Search Text,Growth,InHouse,ROAS,Paused,SAR,909476,218499,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Feb 2024 40,LinkedIn Ads,B2B,Lead Generation,88801.70,84599.20,2024-02-09,2024-03-08,USA,VIP,Static,CRM,AdSpark,ROAS,Active,GBP,2002757,189668,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Feb 2024 41,Email Nurture,CRM,Retention,134377.49,105713.64,2024-02-10,2024-04-16,USA,Basic,Carousel,Brand,InHouse,Revenue,Paused,AED,704465,95454,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Feb 2024 42,Affiliate Network,Partner,Acquisition,113070.52,95910.57,2024-02-11,2024-03-31,UK,Basic,Video,Performance,BlueFox,ROAS,Active,QAR,1157561,8406,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Feb 2024 43,Google Ads,Search,Acquisition,85948.46,69689.24,2024-02-12,2024-06-05,KSA,Enterprise,Search Text,Growth,MediaHub,Leads,Completed,AED,2303044,142830,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Feb 2024 44,Meta Ads,Social,Acquisition,2422.03,1962.53,2024-02-13,2024-05-30,Egypt,Basic,Carousel,Growth,AdSpark,Leads,Paused,SAR,959901,221131,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Feb 2024 45,TikTok Ads,Social,Awareness,94137.03,95798.24,2024-02-14,2024-04-09,Kuwait,VIP,Search Text,CRM,AdSpark,Revenue,Paused,EUR,2389098,82880,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Feb 2024 46,LinkedIn Ads,B2B,Lead Generation,134093.43,92003.96,2024-02-15,2024-05-27,Qatar,VIP,Carousel,Growth,InHouse,ROAS,Completed,EGP,2522841,179132,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Feb 2024 47,Email Nurture,CRM,Retention,10671.04,9870.51,2024-02-16,2024-03-24,Bahrain,VIP,Static,Performance,InHouse,Leads,Active,SAR,2000116,21606,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Feb 2024 48,Affiliate Network,Partner,Acquisition,103049.38,69532.24,2024-02-17,2024-04-25,Kuwait,Premium,Search Text,Brand,MediaHub,Revenue,Completed,EGP,429465,135917,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Feb 2024 49,Google Ads,Search,Acquisition,40465.99,32330.52,2024-02-18,2024-05-16,UAE,Enterprise,Search Text,Growth,InHouse,ROAS,Completed,QAR,579950,79305,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Feb 2024 50,Meta Ads,Social,Acquisition,145748.66,109324.19,2024-02-19,2024-05-10,UAE,VIP,Search Text,Performance,BlueFox,Revenue,Paused,BHD,1731595,14107,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Feb 2024 51,TikTok Ads,Social,Awareness,118798.33,89675.19,2024-02-20,2024-04-15,UAE,VIP,Carousel,Performance,BlueFox,Revenue,Paused,KWD,2264513,234953,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Feb 2024 52,LinkedIn Ads,B2B,Lead Generation,86539.10,83337.74,2024-02-21,2024-03-09,UK,VIP,Static,CRM,InHouse,Revenue,Active,GBP,1559919,68656,2024-01-01T00:00:00+00:00
CMP-005,Email Nurture Feb 2024 53,Email Nurture,CRM,Retention,61856.61,49640.19,2024-02-22,2024-06-17,Egypt,Premium,Search Text,Brand,BlueFox,ROAS,Active,EUR,2663417,88556,2024-01-01T00:00:00+00:00
CMP-006,Affiliate Network Feb 2024 54,Affiliate Network,Partner,Acquisition,92019.54,68238.09,2024-02-23,2024-05-24,UAE,Basic,Search Text,CRM,MediaHub,ROAS,Active,EGP,1243596,48459,2024-01-01T00:00:00+00:00
CMP-001,Google Ads Feb 2024 55,Google Ads,Search,Acquisition,120132.40,98661.47,2024-02-24,2024-06-14,Bahrain,Enterprise,Carousel,Performance,MediaHub,Leads,Completed,SAR,1646380,8274,2024-01-01T00:00:00+00:00
CMP-002,Meta Ads Feb 2024 56,Meta Ads,Social,Acquisition,13701.63,10445.74,2024-02-25,2024-03-23,KSA,Basic,Carousel,Brand,AdSpark,ROAS,Active,AED,464443,125409,2024-01-01T00:00:00+00:00
CMP-003,TikTok Ads Feb 2024 57,TikTok Ads,Social,Awareness,78408.02,63387.58,2024-02-26,2024-05-25,Bahrain,Premium,Static,Growth,MediaHub,Leads,Paused,AED,1155871,117946,2024-01-01T00:00:00+00:00
CMP-004,LinkedIn Ads Feb 2024 58,LinkedIn Ads,B2B,Lead Generation,149143.97,121316.61,2024-02-27,2024-03-29,UK,Premium,Search Text,Growth,MediaHub,ROAS,Active,AED,865180,139611,2024-01-01T00:00:00+00:00
